City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Kahului,US,2022-04-13 19:26:03,20.8947,-156.47,80.62,54,40,18.41
69,Torbay,CA,2022-04-13 19:27:34,47.6666,-52.7314,37.27,92,100,19.57
70,Cape Town,ZA,2022-04-13 19:25:34,-33.9258,18.4232,65.88,85,0,19.57
71,Viedma,AR,2022-04-13 19:27:34,-40.8135,-62.9967,63.82,47,46,12.82
72,Flinders,AU,2022-04-13 19:27:34,-34.5833,150.8552,60.19,93,71,5.01
73,Aitape,PG,2022-04-13 19:27:35,-3.1374,142.3475,78.89,77,91,4.32
74,West Wendover,US,2022-04-13 19:27:35,40.7391,-114.0733,42.01,24,0,23.02
75,Berlevag,NO,2022-04-13 19:27:35,70.8578,29.0864,26.55,68,0,5.75
76,Clyde River,CA,2022-04-13 19:27:36,70.4692,-68.5914,-1.97,84,20,3.44
77,Komsomolskiy,UZ,2022-04-13 19:27:36,40.4272,71.7189,68.72,42,3,6.91
78,Khor,RU,2022-04-13 19:27:36,47.8861,134.9464,31.82,83,12,5.17
79,Dharchula,IN,2022-04-13 19:27:37,29.85,80.5333,66.02,44,40,7.23
80,Gillette,US,2022-04-13 19:27:37,44.2911,-105.5022,17.11,72,100,31.07
81,Avarua,CK,2022-04-13 19:27:37,-21.2078,-159.775,78.85,94,20,2.3
82,Codrington,AU,2022-04-13 19:27:37,-38.2667,141.9667,52.7,82,94,6.55
83,Port Hardy,CA,2022-04-13 19:27:38,50.6996,-127.4199,46.58,57,75,11.5
84,Isangel,VU,2022-04-13 19:27:38,-19.55,169.2667,77.38,86,9,5.75
85,Georgetown,MY,2022-04-13 19:27:38,5.4112,100.3354,78.75,94,40,2.3
86,Fairbanks,US,2022-04-13 19:26:09,64.8378,-147.7164,37.92,48,0,3.44
87,Saint-Philippe,RE,2022-04-13 19:27:39,-21.3585,55.7679,74.79,90,83,17.16
88,Chuy,UY,2022-04-13 19:27:39,-33.6971,-53.4616,69.31,37,18,10.33
89,Atherton,GB,2022-04-13 19:27:40,53.5237,-2.4935,55.74,79,1,1.01
90,Thompson,CA,2022-04-13 19:27:40,55.7435,-97.8558,28.56,50,40,20.71
91,College,US,2022-04-13 19:23:40,64.8569,-147.8028,37.9,48,75,3.44
92,Marsh Harbour,BS,2022-04-13 19:27:40,26.5412,-77.0636,76.26,63,87,16.89
93,Gorele,TR,2022-04-13 19:28:41,41.0308,39.0031,41.43,67,4,5.64
94,Yukamenskoye,RU,2022-04-13 19:28:41,57.8865,52.2416,34.86,100,100,0.72
95,Guerrero Negro,MX,2022-04-13 19:28:05,27.9769,-114.0611,70.21,35,20,10.0
96,Carmelo,UY,2022-04-13 19:28:41,-33.9892,-58.2856,66.09,35,0,9.42
97,Severo-Kurilsk,RU,2022-04-13 19:28:42,50.6789,156.125,28.9,93,100,20.38
98,Havre-Saint-Pierre,CA,2022-04-13 19:25:18,50.2334,-63.5986,37.76,87,100,6.91
99,Sola,VU,2022-04-13 19:28:42,-13.8833,167.55,81.57,75,15,11.1
100,Hobart,AU,2022-04-13 19:28:42,-42.8794,147.3294,51.66,84,99,9.22
101,Madimba,TZ,2022-04-13 19:27:14,-10.4,40.3333,77.74,87,84,6.04
102,Port Alfred,ZA,2022-04-13 19:28:43,-33.5906,26.891,63.18,94,4,5.99
103,Brae,GB,2022-04-13 19:28:43,60.3964,-1.353,43.7,76,28,15.01
104,Tuatapere,NZ,2022-04-13 19:28:44,-46.1333,167.6833,43.83,87,98,5.41
105,Puerto Ayora,EC,2022-04-13 19:28:44,-0.7393,-90.3518,84.16,77,69,10.71
106,Shimoda,JP,2022-04-13 19:28:44,34.6667,138.95,62.1,92,97,4.27
107,Husavik,IS,2022-04-13 19:28:45,66.0449,-17.3389,38.17,83,52,8.97
108,Shuya,RU,2022-04-13 19:28:45,56.8487,41.3883,38.53,90,100,11.95
109,Lujan,AR,2022-04-13 19:28:45,-34.5703,-59.105,70.02,39,6,3.0
110,Bhavani,IN,2022-04-13 19:28:46,11.45,77.6833,76.62,90,100,7.23
