,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sandakan,MY,5.8402,118.1179,85.68,79,40,4.61,scattered clouds
79,Yellowknife,CA,62.456,-114.3525,41.56,60,100,8.05,overcast clouds
80,Acarau,BR,-2.8856,-40.12,77.76,86,66,10.25,broken clouds
81,San Cristobal,VE,7.7669,-72.225,68.18,91,94,1.41,overcast clouds
82,Marana,US,32.4367,-111.2254,85.35,9,0,6.91,clear sky
83,Imphal,IN,24.8167,93.95,76.91,73,40,0.0,mist
84,Ilulissat,GL,69.2167,-51.1,21.22,86,100,0.0,overcast clouds
85,Sandur,IN,15.1,76.55,87.15,47,49,4.74,scattered clouds
86,Hofn,IS,64.2539,-15.2082,39.15,97,100,6.46,overcast clouds
87,Cape Town,ZA,-33.9258,18.4232,60.91,73,63,15.01,broken clouds
88,Zyryanka,RU,65.75,150.85,21.49,78,100,13.71,overcast clouds
89,Cherskiy,RU,68.75,161.3,30.31,74,100,6.78,overcast clouds
90,Olafsvik,IS,64.8945,-23.7142,41.86,81,91,3.58,overcast clouds
91,Saskylakh,RU,71.9167,114.0833,13.35,90,71,1.79,broken clouds
92,Guerrero Negro,MX,27.9769,-114.0611,64.78,65,0,13.22,clear sky
93,Aykhal,RU,66.0,111.5,22.71,79,75,4.85,broken clouds
94,Karlsfeld,DE,48.2167,11.4667,48.18,95,100,2.82,overcast clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,60.87,79,6,8.01,clear sky
96,Komsomolskiy,UZ,40.4272,71.7189,65.12,55,100,0.0,overcast clouds
97,Chihuahua,MX,28.5,-106.0,70.63,55,0,11.03,clear sky
98,Puerto Ayora,EC,-0.7393,-90.3518,71.26,92,67,5.84,broken clouds
99,Lorengau,PG,-2.0226,147.2712,83.26,75,18,8.48,few clouds
100,Platteville,US,42.7342,-90.4785,37.96,70,100,14.97,overcast clouds
101,Ust-Kuyga,RU,70.0167,135.6,12.07,77,92,0.89,overcast clouds
102,Taltal,CL,-25.4,-70.4833,62.19,86,46,4.0,scattered clouds
103,Castro,BR,-24.7911,-50.0119,58.35,86,10,2.64,clear sky
104,Palau,PW,7.503,134.621,82.36,78,75,13.8,broken clouds
105,Carnarvon,AU,-24.8667,113.6333,75.27,78,40,9.22,scattered clouds
106,Port Blair,IN,11.6667,92.75,87.84,70,75,2.3,broken clouds
107,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,13.8,light rain
108,Atuona,PF,-9.8,-139.0333,78.94,78,22,17.27,light rain
109,Den Helder,NL,52.9599,4.7593,46.38,88,20,11.99,few clouds
110,Fortuna,US,40.5982,-124.1573,54.09,88,0,8.05,clear sky
111,Nikolskoye,RU,59.7035,30.7861,41.72,98,100,5.1,light rain
112,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,62.13,94,0,5.26,clear sky
113,Qaanaaq,GL,77.484,-69.3632,6.01,60,27,7.85,scattered clouds
114,Port Elizabeth,ZA,-33.918,25.5701,52.32,89,0,1.01,clear sky
115,Butaritari,KI,3.0707,172.7902,80.62,83,30,12.73,light rain
116,New Norfolk,AU,-42.7826,147.0587,62.89,44,5,2.66,clear sky
117,Marawi,PH,7.9986,124.2928,81.64,64,85,3.76,overcast clouds
118,Herat,AF,34.5,62.0,71.82,20,40,3.31,scattered clouds
119,Mindelo,CV,16.8901,-24.9804,71.15,73,20,18.41,few clouds
120,Roald,NO,62.5833,6.1333,44.76,87,20,13.8,few clouds
